latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,
33.625,73.125,583,0,GMT,GMT,,,,,,,,
,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation_probability (%),precipitation (mm),rain (mm),showers (mm),surface_pressure (hPa),visibility (m),cloud_cover_high (%),cloud_cover_mid (%),cloud_cover_low (%)
2025-04-12T00:00,17.7,55,8.6,16.7,0,0,0,0,940.8,24140,0,0,0
2025-04-12T01:00,17.4,54,8,16.3,0,0,0,0,941.2,24140,0,0,0
2025-04-12T02:00,18.7,49,7.8,17.6,0,0,0,0,941.4,24140,0,0,0
2025-04-12T03:00,22.4,39,7.8,21.7,0,0,0,0,942.7,24140,0,0,0
2025-04-12T04:00,25.6,31,7.2,24.4,0,0,0,0,943.5,24140,0,0,0
2025-04-12T05:00,27.9,26,6.7,27.4,0,0,0,0,944.1,24140,0,0,0
2025-04-12T06:00,29.7,25,7.6,30,0,0,0,0,944.6,24140,0,0,0
2025-04-12T07:00,30.9,23,7.4,31.4,0,0,0,0,944.7,24140,0,0,0
2025-04-12T08:00,31.7,22,7.4,32.2,0,0,0,0,944,24140,0,12,0
2025-04-12T09:00,32.1,21,7.1,32.4,0,0,0,0,943,24140,0,16,0
2025-04-12T10:00,32.2,21,7.1,31.5,0,0,0,0,941.9,24140,0,29,0
2025-04-12T11:00,32,22,7.6,30.3,0,0,0,0,941.3,24140,0,58,0
2025-04-12T12:00,31.2,24,8.3,30,0,0,0,0,941.6,24140,0,47,0
2025-04-12T13:00,30.3,26,8.6,29,0,0,0,0,941.8,24140,0,3,0
2025-04-12T14:00,28,32,9.8,27.3,0,0,0,0,942.1,24140,0,0,0
2025-04-12T15:00,26.1,37,10.3,25.6,0,0,0,0,943.1,24140,0,0,0
2025-04-12T16:00,24.2,43,10.9,23.8,0,0,0,0,943.5,24140,0,0,0
2025-04-12T17:00,22.6,48,11.1,22.1,0,0,0,0,943.6,24140,0,0,0
2025-04-12T18:00,22.8,46,10.6,22.1,0,0,0,0,942.8,24140,0,0,0
2025-04-12T19:00,22.2,47,10.4,21.5,0,0,0,0,943.1,24140,0,0,0
2025-04-12T20:00,21.6,49,10.4,20.9,0,0,0,0,942.9,24140,0,0,0
2025-04-12T21:00,20.9,51,10.4,20.2,0,0,0,0,943,24140,0,0,0
2025-04-12T22:00,20.5,52,10.3,19.7,0,0,0,0,942.6,24140,0,0,0
2025-04-12T23:00,20.1,54,10.5,19.4,0,0,0,0,943.1,24140,0,0,0
2025-04-13T00:00,20,55,10.7,19.4,0,0,0,0,942.9,24140,0,0,0
2025-04-13T01:00,19.6,56,10.6,18.9,0,0,0,0,943.7,24140,0,0,0
2025-04-13T02:00,20.9,54,11.3,20.5,0,0,0,0,944.3,24140,0,0,0
2025-04-13T03:00,24.8,44,11.8,24.9,0,0,0,0,945.5,24140,0,0,0
2025-04-13T04:00,27.4,36,11,26.9,0,0,0,0,946.7,24140,0,0,0
2025-04-13T05:00,29.2,32,10.8,29.7,0,0,0,0,946.6,24140,0,0,0
2025-04-13T06:00,30.3,31,11.3,31.6,0,0,0,0,946.9,24140,0,0,0
2025-04-13T07:00,31.9,27,10.6,33.1,0,0,0,0,946.4,24140,0,0,0
2025-04-13T08:00,33.1,24,9.8,33.8,0,0,0,0,945.9,24140,0,0,0
2025-04-13T09:00,33.7,21,8.4,33.8,0,0,0,0,945.2,24140,0,0,0
2025-04-13T10:00,33.9,20,7.8,33.2,0,0,0,0,944.1,24140,0,0,0
2025-04-13T11:00,33.7,20,7.7,32,0,0,0,0,943.5,24140,0,0,0
2025-04-13T12:00,33,23,9.1,31.9,0,0,0,0,943.4,24140,0,0,0
2025-04-13T13:00,32,24,8.9,30.9,0,0,0,0,943.4,24140,0,0,0
2025-04-13T14:00,29.8,31,10.8,29.6,0,0,0,0,943.6,24140,0,0,0
2025-04-13T15:00,27.3,37,11.3,27.1,0,0,0,0,943.9,24140,0,0,0
2025-04-13T16:00,25.3,42,11.5,24.9,0,0,0,0,944.3,24140,0,0,0
2025-04-13T17:00,24.5,43,11.1,24,0,0,0,0,944.3,24140,0,0,0
2025-04-13T18:00,23.6,43,10.3,22.9,0,0,0,0,944.2,24140,0,0,0
2025-04-13T19:00,23,45,10.5,22.4,0,0,0,0,943.4,24140,0,0,0
2025-04-13T20:00,22.4,47,10.6,21.9,0,0,0,0,943.2,24140,0,0,0
2025-04-13T21:00,21.8,49,10.6,21.3,0,0,0,0,942.6,24140,0,0,0
2025-04-13T22:00,21.3,50,10.5,20.8,0,0,0,0,942.4,24140,0,0,0
2025-04-13T23:00,20.9,52,10.7,20.4,0,0,0,0,942,24140,0,0,0
2025-04-14T00:00,20.9,52,10.7,20.4,0,0,0,0,942.5,24140,0,0,0
2025-04-14T01:00,20.5,55,11.2,20.2,0,0,0,0,942.6,24140,0,0,0
2025-04-14T02:00,22,55,12.5,22.2,0,0,0,0,943.5,24140,0,0,0
2025-04-14T03:00,25.4,47,13.3,26,0,0,0,0,944.1,24140,0,0,0
2025-04-14T04:00,28.1,40,13.3,28.3,0,0,0,0,945.4,24140,0,0,0
2025-04-14T05:00,29.9,33,11.9,30.4,0,0,0,0,945.6,24140,0,0,0
2025-04-14T06:00,31.1,31,12,32.6,0,0,0,0,946.4,24140,0,0,0
2025-04-14T07:00,32.5,29,12.2,34.5,0,0,0,0,945.5,24140,0,0,0
2025-04-14T08:00,33.7,27,12.1,35.7,0,0,0,0,945,24140,0,0,0
2025-04-14T09:00,34.5,26,12.2,36.1,0,0,0,0,944.1,24140,0,0,0
2025-04-14T10:00,34.8,27,13.1,36,0,0,0,0,943.3,24140,0,0,0
2025-04-14T11:00,34.7,27,13,35,0,0,0,0,942.3,24140,0,0,0
2025-04-14T12:00,34.8,26,12.5,34.6,0,0,0,0,942.4,24140,0,0,0
2025-04-14T13:00,33.8,25,11.1,33.5,0,0,0,0,942.3,24140,0,0,0
2025-04-14T14:00,31.6,33,13.4,32.4,0,0,0,0,942.6,24140,0,0,0
2025-04-14T15:00,30.2,35,13.1,30.7,0,0,0,0,942.9,24140,0,0,0
2025-04-14T16:00,26.9,45,14,27.3,0,0,0,0,943.4,24140,0,0,0
2025-04-14T17:00,25.3,53,15.1,26,0,0,0,0,943.8,24140,0,0,0
2025-04-14T18:00,25.3,51,14.4,25.7,0,0,0,0,943.9,24140,0,0,0
2025-04-14T19:00,24.8,51,14,25,0,0,0,0,943.8,24140,0,0,0
2025-04-14T20:00,24.6,50,13.5,24.6,0,0,0,0,943.3,24140,0,0,0
2025-04-14T21:00,24.3,51,13.5,24.3,0,0,0,0,942.5,24140,0,0,0
2025-04-14T22:00,24.1,52,13.6,24.2,0,0,0,0,942.5,24140,0,0,0
2025-04-14T23:00,23.7,54,13.9,23.9,0,0,0,0,942.1,24140,0,0,0
2025-04-15T00:00,23.3,54,13.5,23.4,0,0,0,0,943.2,24140,0,0,0
2025-04-15T01:00,22.9,55,13.4,23.1,0,0,0,0,943.6,24140,0,0,0
2025-04-15T02:00,24.3,53,14.1,24.9,0,0,0,0,944.4,24140,0,0,0
2025-04-15T03:00,28,43,14.3,29.1,0,0,0,0,945.2,24140,0,0,0
2025-04-15T04:00,30.2,37,13.9,30.7,0,0,0,0,945.4,24140,0,0,0
2025-04-15T05:00,31.6,36,14.7,33.2,0,0,0,0,945.7,24140,0,0,0
2025-04-15T06:00,32.6,35,15.1,34.9,0,0,0,0,945.9,24140,0,0,0
2025-04-15T07:00,33.8,32,14.8,36.5,0,0,0,0,945.7,24140,0,0,0
2025-04-15T08:00,34.8,30,14.7,37.6,0,0,0,0,945.3,24140,0,0,0
2025-04-15T09:00,35.5,28,14.2,37.9,0,0,0,0,944.4,24140,0,0,0
2025-04-15T10:00,35.9,26,13.4,37.2,0,0,0,0,944,24140,0,0,0
2025-04-15T11:00,35.7,26,13.3,35.8,0,0,0,0,943,24140,0,0,7
2025-04-15T12:00,35.2,28,13.9,35.2,0,0,0,0,943.2,24140,0,15,0
2025-04-15T13:00,34.2,29,13.6,34.3,0,0,0,0,943,24140,0,25,0
2025-04-15T14:00,32.4,34,14.6,33.3,0,0,0,0,943.2,24140,0,3,0
2025-04-15T15:00,30.5,39,15,31.5,0,0,0,0,943.7,24140,0,0,0
2025-04-15T16:00,28.5,44,15.1,29.3,0,0,0,0,943.6,24140,0,0,0
2025-04-15T17:00,27.2,49,15.6,28,0,0,0,0,943.5,24140,0,0,0
2025-04-15T18:00,26.9,49,15.3,27.7,0,0,0,0,943.8,24140,0,0,22
2025-04-15T19:00,26.4,50,15.2,27.1,0,0,0,0,943.6,24140,0,0,20
2025-04-15T20:00,25.8,52,15.2,26.4,0,0,0,0,943.1,24140,0,0,0
2025-04-15T21:00,25.3,54,15.4,26,0,0,0,0,942.8,24140,0,0,0
2025-04-15T22:00,24.8,56,15.4,25.5,0,0,0,0,942.8,24140,0,0,0
2025-04-15T23:00,24.5,57,15.4,25.1,0,0,0,0,942.7,24140,35,0,0
2025-04-16T00:00,24.4,56,15.1,25,3,0,0,0,942.5,24140,86,0,0
2025-04-16T01:00,24.2,57,15.2,24.9,0,0,0,0,943,24140,100,0,0
2025-04-16T02:00,25.4,56,16,26.5,0,0,0,0,943.4,24140,78,0,0
2025-04-16T03:00,28.5,46,15.8,29.5,0,0,0,0,944.6,24140,4,0,0
2025-04-16T04:00,30.6,40,15.5,31,8,0,0,0,944.8,24140,11,0,0
2025-04-16T05:00,32.2,37,15.7,33.4,13,0,0,0,945.2,24140,53,0,0
2025-04-16T06:00,33.2,35,15.7,35.3,28,0,0,0,944.8,24140,5,0,0
2025-04-16T07:00,34.1,32,15.1,35.6,35,0,0,0,944.5,24140,0,0,0
2025-04-16T08:00,33.8,32,14.8,36.1,35,0,0,0,944.5,24140,0,14,0
2025-04-16T09:00,30.6,42,16.3,30.6,43,0.9,0,0.9,944.4,24140,100,66,0
2025-04-16T10:00,30,47,17.4,30.6,48,0.2,0,0.2,943.5,24140,100,37,0
2025-04-16T11:00,30.6,43,16.6,30.7,38,0,0,0,942.4,24140,100,3,3
2025-04-16T12:00,30.9,40,15.8,30.8,43,0,0,0,942.4,24140,100,30,0
2025-04-16T13:00,29.1,45,16,29,30,0,0,0,942.9,24140,100,0,0
2025-04-16T14:00,28.1,47,15.7,28.4,28,0,0,0,943.6,16400,100,31,0
2025-04-16T15:00,26.9,50,15.6,27.7,18,0,0,0,944,8360,91,0,0
2025-04-16T16:00,26,50,14.8,26.2,23,0,0,0,943.3,24140,47,28,0
2025-04-16T17:00,23.4,63,16,22.7,15,1.3,0,1.3,944.2,24140,100,32,0
2025-04-16T18:00,23.2,53,13.1,22.8,3,0,0,0,943.8,24140,0,0,0
2025-04-16T19:00,22.9,55,13.4,22.9,5,0,0,0,943.6,24140,0,5,0
2025-04-16T20:00,22.4,57,13.5,22.7,5,0,0,0,943.1,24140,0,39,0
2025-04-16T21:00,22,59,13.7,22.3,5,0,0,0,942.4,24140,0,6,0
2025-04-16T22:00,22.1,61,14.3,23.3,3,0,0,0,942.3,24140,0,29,0
2025-04-16T23:00,21.2,65,14.4,22.1,3,0,0,0,942.4,24140,0,27,0
2025-04-17T00:00,20.5,65,13.7,21.1,0,0,0,0,943,24140,0,20,0
2025-04-17T01:00,20.2,67,13.9,20.9,3,0,0,0,943.2,24140,0,29,0
2025-04-17T02:00,21.7,64,14.6,22.8,5,0,0,0,943.3,24140,0,8,0
2025-04-17T03:00,25.8,50,14.6,26.9,0,0,0,0,944.1,24140,0,0,0
2025-04-17T04:00,28.3,41,13.8,28.7,0,0,0,0,944.5,24140,0,0,0
2025-04-17T05:00,30.6,36,13.8,31.6,3,0,0,0,944.8,24140,0,0,0
2025-04-17T06:00,30.5,38,14.6,32.4,0,0,0,0,945.1,24140,0,0,0
2025-04-17T07:00,32.3,34,14.4,34.5,0,0,0,0,944.7,24140,0,0,0
2025-04-17T08:00,33.6,30,13.7,35.4,0,0,0,0,943.9,24140,0,0,0
2025-04-17T09:00,34.5,27,12.8,35.5,0,0,0,0,942.8,24140,0,0,0
2025-04-17T10:00,34.9,26,12.5,35.2,0,0,0,0,941.8,24140,0,0,0
2025-04-17T11:00,34.7,27,13,34.1,0,0,0,0,940.7,24140,100,0,0
2025-04-17T12:00,33.4,29,12.9,33.2,0,0,0,0,940.2,24140,100,0,0
2025-04-17T13:00,32.4,31,13.1,32.7,0,0,0,0,939.9,24140,100,0,0
2025-04-17T14:00,30.4,39,14.9,31.6,0,0,0,0,940.3,24140,100,0,0
2025-04-17T15:00,27.8,47,15.5,29,0,0,0,0,940.5,24140,10,0,0
2025-04-17T16:00,26,51,15.1,26.7,0,0,0,0,940.4,24140,25,0,0
2025-04-17T17:00,25.5,49,14,25.8,0,0,0,0,940.6,24140,100,0,0
2025-04-17T18:00,25.6,47,13.5,25.9,13,0,0,0,941.1,24140,100,11,0
2025-04-17T19:00,25.9,46,13.4,25.9,8,0,0,0,940.6,24140,100,80,0
2025-04-17T20:00,25.7,46,13.2,25.9,23,0,0,0,940.2,24140,0,47,0
2025-04-17T21:00,24.9,48,13.2,24.8,23,0,0,0,939.6,24140,100,63,0
2025-04-17T22:00,25.2,45,12.4,24.7,30,0,0,0,939.8,24140,100,96,0
2025-04-17T23:00,24.2,51,13.5,23.6,23,0,0,0,940.5,24140,100,100,0
2025-04-18T00:00,23.8,53,13.6,23.3,30,0.2,0,0.2,940.3,24140,100,49,0
2025-04-18T01:00,23.9,54,14.1,23.8,18,0.2,0,0.2,940.2,24140,0,42,0
2025-04-18T02:00,24.9,51,14.1,25.1,13,0,0,0,941.1,24140,4,59,18
2025-04-18T03:00,27.2,38,11.6,26,23,0,0,0,941.3,24140,100,43,0
2025-04-18T04:00,27.2,38,11.6,26.2,20,0.6,0,0.6,942.8,24140,100,36,0
2025-04-18T05:00,29.8,32,11.3,29,23,0,0,0,942.9,24140,100,34,0
2025-04-18T06:00,32.6,28,11.8,33.3,13,0,0,0,941.4,24140,100,38,0
2025-04-18T07:00,33.4,28,12.4,35.4,8,0.3,0,0.3,941.1,24140,100,45,0
2025-04-18T08:00,35.1,24,11.5,36.2,3,0,0,0,940.2,24140,56,48,0
2025-04-18T09:00,35.9,22,10.9,36.3,5,0,0,0,939.4,24140,97,34,6
2025-04-18T10:00,36,22,11,35.8,3,0,0,0,938.5,24140,100,34,0
2025-04-18T11:00,35.6,22,10.6,34.2,0,0,0,0,937.4,24140,100,18,0
2025-04-18T12:00,34.9,26,12.6,34.8,0,0,0,0,937.1,24140,100,35,0
2025-04-18T13:00,33.7,29,13.2,33.4,20,0,0,0,936.9,24140,100,45,0
2025-04-18T14:00,31.1,32,12.5,29.9,13,0,0,0,936.2,15120,100,15,0
2025-04-18T15:00,23.2,73,18.1,22.7,40,2.2,0,2.2,939.2,24140,100,84,0
2025-04-18T16:00,22.4,76,17.9,22.7,78,1.1,0,1.1,940,15360,100,100,0
2025-04-18T17:00,22.8,67,16.4,23.4,73,0.5,0,0.5,938.6,24140,100,49,0
2025-04-18T18:00,23.6,62,15.9,24.5,78,0,0,0,936.9,15560,100,79,0
2025-04-18T19:00,21.1,81,17.7,22.4,90,4.8,0,4.8,939,24140,100,100,43
2025-04-18T20:00,20.6,82,17.4,22,88,5.5,0.5,5,939.1,24140,100,91,65
2025-04-18T21:00,20.4,82,17.3,22.5,73,3.2,0,3.2,938.6,23400,100,100,62
2025-04-18T22:00,20.4,79,16.7,20.7,53,0.9,0,0.9,937.2,15000,100,57,29
2025-04-18T23:00,21.1,73,16.1,22,45,0,0,0,937.3,8780,100,43,31
2025-04-19T00:00,21.1,68,14.9,20.7,33,0,0,0,937.6,24140,100,53,0
2025-04-19T01:00,21.3,64,14.2,21.1,13,0,0,0,937.9,24140,15,50,0
2025-04-19T02:00,22,62,14.4,22.5,8,0,0,0,938.7,24140,0,56,0
2025-04-19T03:00,24.1,54,14.2,24.6,10,0,0,0,939.7,24140,0,34,0
2025-04-19T04:00,26.3,43,12.7,25.5,23,0,0,0,940,24140,0,25,0
2025-04-19T05:00,28,41,13.6,28.3,15,0,0,0,939.9,24140,0,0,27
2025-04-19T06:00,27.5,47,15.2,26.1,10,1,0,1,939.9,24140,0,45,46
2025-04-19T07:00,28.9,44,15.5,28.6,28,0,0,0,939.5,24140,0,69,25
2025-04-19T08:00,29.1,46,16.3,29.8,48,0,0,0,939.3,24140,0,37,9
2025-04-19T09:00,29.6,45,16.4,30.2,45,0,0,0,938.4,24140,100,29,28
2025-04-19T10:00,29.2,46,16.4,29.8,45,0,0,0,937.8,24140,100,35,55
2025-04-19T11:00,28.5,48,16.4,29.4,38,0.1,0,0.1,937.3,24140,100,79,54
2025-04-19T12:00,25.9,51,15,25.4,30,0.4,0,0.4,935.9,24140,0,18,29
2025-04-19T13:00,22.2,67,15.8,21.3,40,1.6,0,1.6,937,24140,100,44,62
2025-04-19T14:00,20.5,68,14.4,18.9,43,1,0,1,937.3,24140,0,0,21
2025-04-19T15:00,20.5,68,14.4,19.9,28,0,0,0,938,24140,0,30,28
2025-04-19T16:00,20.8,63,13.5,19.6,18,0,0,0,938,24140,0,15,0
2025-04-19T17:00,20.5,62,13,19.3,8,0,0,0,938.4,24140,0,11,0
2025-04-19T18:00,22.5,58,13.9,21.7,3,0,0,0,936.8,24140,0,6,3
2025-04-19T19:00,22.3,57,13.4,21.4,5,0,0,0,936.8,24140,0,0,12
2025-04-19T20:00,22.1,57,13.2,21,15,0,0,0,936.3,24140,0,0,0
2025-04-19T21:00,21.9,56,12.8,21,13,0,0,0,936.1,24140,0,0,0
2025-04-19T22:00,21.5,59,13.1,21.4,28,0,0,0,935.9,24140,0,0,0
2025-04-19T23:00,20.5,64,13.4,20.7,23,0,0,0,936.9,24140,0,0,0
2025-04-20T00:00,20.7,69,14.8,21.4,43,0,0,0,936.3,24140,0,34,0
2025-04-20T01:00,20.5,70,14.9,21.5,13,0,0,0,936.9,24140,0,41,4
2025-04-20T02:00,21.4,71,15.9,23,15,0,0,0,937.5,24140,0,44,23
2025-04-20T03:00,23.2,60,15,23.8,18,0,0,0,939,24140,0,7,59
2025-04-20T04:00,23.9,59,15.4,24.3,43,0.1,0,0.1,940.1,24140,0,3,52
2025-04-20T05:00,23.3,59,14.9,22.7,60,0.2,0,0.2,941.1,24140,100,30,67
2025-04-20T06:00,27,47,14.8,27,70,0,0,0,940,24140,0,50,45
2025-04-20T07:00,27.2,48,15.2,28,50,0,0,0,940.2,24140,100,4,69
2025-04-20T08:00,27.7,48,15.7,28.4,25,0.4,0,0.4,940.3,24140,100,51,72
2025-04-20T09:00,25.6,54,15.6,24.8,18,0.6,0,0.6,940.1,24140,46,29,20
2025-04-20T10:00,26,50,14.8,25.1,25,0,0,0,939.4,24140,0,11,0
2025-04-20T11:00,25.3,50,14.2,24,20,0,0,0,938.7,24140,100,50,0
2025-04-20T12:00,26.5,50,15.3,26,18,0.6,0,0.6,937.3,23460,0,8,0
2025-04-20T13:00,25,51,14.2,24.7,53,0,0,0,938.2,24140,100,55,0
2025-04-20T14:00,24.3,55,14.7,24.4,73,0,0,0,939.8,24140,100,63,29
2025-04-20T15:00,21.5,63,14.1,21,45,1.5,0,1.5,941.2,24140,100,74,59
2025-04-20T16:00,20.3,68,14.2,19.3,23,0.7,0,0.7,941.8,24140,0,44,45
2025-04-20T17:00,20.8,62,13.2,19.4,3,0,0,0,941.5,24140,0,0,26
2025-04-20T18:00,21.7,54,12,19.7,0,0,0,0,941.5,24140,0,0,0
2025-04-20T19:00,21.5,55,12.1,19.7,0,0,0,0,941.4,24140,0,0,0
2025-04-20T20:00,21.2,53,11.3,19.4,0,0,0,0,941.5,24140,0,0,0
2025-04-20T21:00,21,50,10.2,19.1,0,0,0,0,941.5,24140,0,0,0
2025-04-20T22:00,21.1,49,10,19.2,5,0,0,0,941.1,24140,0,0,0
2025-04-20T23:00,20.9,49,9.8,19.8,3,0,0,0,941.5,24140,0,0,0
2025-04-21T00:00,19.7,55,10.4,19,3,0,0,0,941.2,24140,0,0,0
2025-04-21T01:00,18.3,61,10.6,17.7,0,0,0,0,942.1,24140,0,0,0
2025-04-21T02:00,20.2,58,11.7,20,0,0,0,0,943.1,24140,0,0,0
2025-04-21T03:00,24.1,46,11.7,24,0,0,0,0,944.6,24140,0,0,0
2025-04-21T04:00,26.5,40,11.8,26.7,0,0,0,0,945.2,24140,0,0,0
2025-04-21T05:00,28.6,37,12.5,30,0,0,0,0,945.6,24140,0,0,0
2025-04-21T06:00,31.5,31,12.4,32.7,0,0,0,0,945.4,24140,0,0,0
2025-04-21T07:00,32.5,29,12.2,33.3,0,0,0,0,945.1,24140,0,21,0
2025-04-21T08:00,33.3,26,11.2,33.7,0,0,0,0,944.8,24140,0,19,0
2025-04-21T09:00,33.6,22,9,32.7,3,0,0,0,944.1,24140,0,0,0
2025-04-21T10:00,33.5,19,6.7,30.8,0,0,0,0,943.7,24140,100,59,0
2025-04-21T11:00,32.7,18,5.3,29.8,3,0,0,0,943.5,24140,75,40,0
2025-04-21T12:00,32.2,19,5.6,29.6,5,0,0,0,943.9,24140,0,0,0
2025-04-21T13:00,30.8,24,7.9,29.5,3,0,0,0,944.2,24140,0,23,0
2025-04-21T14:00,28.1,32,9.9,27.4,8,0,0,0,944.7,24140,0,46,0
2025-04-21T15:00,25.8,38,10.4,25,5,0,0,0,945.2,24140,0,52,0
2025-04-21T16:00,24.4,40,9.9,23.3,8,0,0,0,945.6,24140,0,55,0
2025-04-21T17:00,23.9,38,8.7,22.4,3,0,0,0,945.7,24140,0,63,0
2025-04-21T18:00,22.9,37,7.5,21.2,3,0,0,0,945,24140,0,47,0
2025-04-21T19:00,22.8,39,8.2,21.3,0,0,0,0,944.7,24140,0,71,0
2025-04-21T20:00,22.3,42,8.8,21.1,0,0,0,0,944.8,24140,0,69,0
2025-04-21T21:00,22,41,8.2,20.4,0,0,0,0,944.8,24140,0,71,0
2025-04-21T22:00,21.9,40,7.7,20.1,0,0,0,0,944.7,24140,0,67,0
2025-04-21T23:00,21.6,40,7.5,19.8,3,0,0,0,945.1,24140,0,61,0
2025-04-22T00:00,22.2,43,9.1,20.9,3,0,0,0,944.5,24140,0,59,0
2025-04-22T01:00,21.8,45,9.3,20.6,3,0,0,0,944.8,24140,0,50,0
2025-04-22T02:00,23,45,10.5,22.2,0,0,0,0,945.4,24140,0,43,0
2025-04-22T03:00,26,39,11,25.3,0,0,0,0,946.5,24140,0,33,0
2025-04-22T04:00,28.4,33,10.6,27.9,0,0,0,0,947.2,24140,0,25,0
2025-04-22T05:00,30.3,29,10.3,31.3,0,0,0,0,947.5,24140,0,0,0
2025-04-22T06:00,31.3,30,11.7,32.7,0,0,0,0,947.5,24140,0,0,0
2025-04-22T07:00,32.1,29,11.8,33.5,0,0,0,0,947.3,24140,0,0,0
2025-04-22T08:00,32.7,27,11.3,33.9,0,0,0,0,947.1,24140,0,0,0
2025-04-22T09:00,33.3,22,8.7,33.4,0,0,0,0,946.4,24140,0,0,0
